Désignation,Fab,Ref fab,Qté,Pu,Pt,
Insert Fileté M3,RUTHEX,sans,11,"0,10 €","1,10 €",base
digispark,DigiStump,out of stock official,1,"3,80 €","3,80 €",
Switch,AMAZON,Mikrotech KCD1-11,2,"0,43 €","0,86 €",
potar avec bouton,AMAZON,,2,"1,50 €","3,00 €",
ventilateur 80mm,AMAZON,,1,"12,00 €","12,00 €",
LED blanche 5mm,,,16,"0,10 €","1,60 €",
PCB,Radiospares,"30*20mm à 0,00942€mm2",1,"0,60 €","0,60 €",
Vis TF M3x6,BRICOVIS,TFHC03/006,1,"0,06 €","0,06 €",poignée
Vis Longue M3x35,BRICOVIS,TCHC03/035A12NOPF,2,"0,96 €","1,92 €",casquette
VIS THC M3x6,BRICOVIS,TC HC M3x6ANEF,8,"0,06 €","0,48 €",
VIS STHC M3x10,BRICOVIS,STHC Pointeau M3X10ANEF,2,"0,08 €","0,17 €",
XT60 MALE,AMAZON,,1,"0,60 €","0,60 €",
XT60 FEM,AMAZON,,1,"0,60 €","0,60 €",
Tige Laiton diam 2mm,AMAZON,"2*83,62mm",2,"0,25","0,50 €",
Tige Laiton diam 2mm,AMAZON,90mm,1,"0,26","0,26 €",
ecrou M3,BRICOVIS,,2,"0,03","0,06 €",
,,,,,,
,,,,,,
,,,,TOTAL,"27,29 €",
